Nimi,Valuutta,Tietoa,Rating,Riski,Vastuullisuus (SFDR),Omistajia Nordnetissä,Kulut,Kategoria,Yläluokka,Alakategoria
Franklin Gold & Prec Mtls A(acc)USD,USD,"Rahasto sijoittaa pääasiassa julkisesti noteerattuihin osakkeisiin ja osakesidonnaisiin arvopapereihin kaikkialla maailmassa. Rahasto sijoittaa kasvuosakkeisiin, mukaan lukien osakkeiksi vaihdettavat arvopaperit ja optiotodistukset, sekä kehittyneillä että kehittyvillä markkinoilla ja seuraavien alueiden ja maiden pörsseissä noteerattujen yritysten osakkeisiin: Pohjois-Amerikka; Manner- Eurooppa: Itävalta, Belgia, Tanska, Suomi, Ranska, Saksa, Italia, Alankomaat, Norja, Espanja, Ruotsi ja Sveitsi; Yhdistynyt Kuningaskunta ja Irlanti; Aasia: Hongkong, Japani, Malesia, Singapore; Australia.",3 stars,6 / 7,6,9592,"1,86%",Sektori,Arvometallit,
AuAg Silver Bullet B,EUR,The focus is on Global Precious Metal Mining Company with a special focus on transferable securities whose value development is affected by the market development for Silver.,2 stars,6 / 7,8,9807,"1,40%",Sektori,Arvometallit,
Evli Silver and Gold B,EUR,"Rahasto sijoittaa varansa sellaisten yritysten julkisen kaupankäynnin kohteena oleviin osakkeisin, joiden liiketoiminnasta merkittävä osa koostuu kullan, hopean, platinaryhmän metallien tai timanttien kaivannais- tai jalostustoiminnasta. Tällaiset osakkeet ovat tyypillisesti julkisen kaupankäynnin kohteena Yhdysvalloissa, Kanadassa, Isossa-Britanniassa tai Australiassa. Rahaston sääntöjen mukaan vähintään 60% rahaston varoista on sijoitettava osakkeisiin. Normaalissa markkinatilnateessa tyypillisesti yli 90% rahaston varoista on sijoitettuna osakkeisiin.",4 stars,6 / 7,6,1612,"1,02%",Sektori,Arvometallit,
Jupiter Gold & Silver L USD Acc,USD,The investment objective of the fund is to seek to achieve a total return by investing predominantly in listed equities.,3 stars,6 / 7,6,3095,"1,75%",Sektori,Arvometallit,
BGF World Gold A2,EUR,"Rahasto sijoittaa pääasiassa kultakaivosyrityksiin, mutta myös osakkeisiin muilla kaivosaloilla.",3 stars,6 / 7,6,5847,"2,09%",Sektori,Arvometallit,
BGF World Gold A2,USD,"Rahasto sijoittaa pääasiassa kultakaivosyrityksiin, mutta myös osakkeisiin muilla kaivosaloilla.",3 stars,6 / 7,6,486,"2,09%",Sektori,Arvometallit,
JPM Korea Equity A (acc) USD,USD,To provide long-term capital growth by investing primarily in a concentrated portfolio of Korean companies.,5 stars,5 / 7,6,1015,"1,80%",Maantiede,Kehittyneet maat – suuret yhtiöt,Korea
Finserve Global Security Fund I SEK R,SEK,"The Sub-Fund’s investment objective is to achieve appropriate income and the highest possible longterm value increase by investing within: - Defense, aerospace and security sector (including homeland and cyber security); - Technology, commodity, infrastructure sectors necessary for society resilience, self-sufficiency, resource independence and for energy transition, digitalisation and electrification. The Sub-Fund will invest mainly in securities of companies without geographical restrictions with the exception of defense companies in Russia and China and in accordance with the principle of risk diversification. No guarantee can be given that the Sub-Fund’s objective will be reached.",5 stars,4 / 7,8,19504,"1,94%",Sektori,Teollisuusmateriaalit,
Carmignac Pf Tech Solutions A EUR Acc,EUR,The Sub-fund’s objective is to outperform the Reference indicator over a recommended minimum investment horizon of 5 years. The Sub-Fund seeks to invest sustainably for long-term growth and implements a socially responsible investment approach.,0 stars,5 / 7,9,468,"1,80%",Sektori,Teknologia,
MetaSpace Fund A,SEK,"Fonden är en aktivt förvaltad aktiefond som gör globala placeringar i aktier och i aktierelaterade överlåtbara värdepapper utgivna av bolag vars verksamhet, produkter och/eller tjänster kännetecknas av ett högt teknikinnehåll. Sådan verksamhet kan till exempel utgöras av: Augmented Reality, Virtual Reality och Mixed Reality, Rymdteknologi, Gaming och eSport, samt Artificiell intelligens. Målsättningen är att Fonden över en rullande femårsperiod ska överträffa sitt jämförelseindex.",3 stars,5 / 7,8,2391,"1,50%",Sektori,Teknologia,
Fidelity Iberia A-Dis-EUR,EUR,"Fidelity Iberia Fund on osakerahasto, joka sijoittaa pääasiallisesti espanjalaisiin ja portugalilaisiin osakkeisiin.",3 stars,4 / 7,8,575,"1,94%",Maantiede,Kehittyneet maat – suuret yhtiöt,Espanja
Fidelity Italy A-Dis-EUR,EUR,"Fidelity Italy Fund on osakerahasto, joka sijoittaa pääasiallisesti italialaisiin osakkeisiin.",3 stars,4 / 7,8,523,"1,93%",Maantiede,Kehittyneet maat – suuret yhtiöt,Italia
Evli Hannibal B2,EUR,-,4 stars,4 / 7,8,171,"1,80%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Eurooppa pienyhtiöt
AuAg Essential Metals B,EUR,"The fund aims to, over a five-year period, outperform its benchmark. The fund's benchmark index is MSCI ACWI Metals and Mining Net Total Return Index (M1WD0MM) in Swedish kronor.",0 stars,5 / 7,8,795,"1,40%",Sektori,Luonnonvarat,
Swedbank Robur Global Emerging Markets A,SEK,"Global Emerging Markets is an actively managed equity fund that mainly invests in companies across a range of sectors in emerging markets worldwide, and where up to 20 percent may also be invested in companies in frontier market countries. The fund has a long-term investment horizon and an active investment strategy focused on a selection of companies, where sector, regional and thematic analyses are also key features of the strategy. The fund complies with Swedbank Robur’s Responsible Investment Policy. Read more about the policy in the fund’s Information Brochure and swedbankrobur.se. Sustainability and climate work is an integrated part in our investment strategy. The fund is suitable for those who want exposure to innovative companies in emerging markets.",4 stars,4 / 7,8,2954,"1,45%",Maantiede,Kehittyvät maat,Kehittyvät maat
Invesco Commodity Allocation A Acc,USD,"Rahaston tavoitteena on pitkän aikavälin pääomankasvu. Rahasto sijoittaa ensisijaisesti sellaisten yritysten osakkeisiin, joiden toiminta liittyy kullan ja muiden jalometallien etsimiseen, kaivamiseen tai jalostukseen tai kaupankäyntiin kyseisillä metalleilla tai niihin sijoittamiseen.Rahasto ei sijoita suoraan kultaan ja muihin jalometalleihin. Rahasto sijoittaa maailmanlaajuisesti. Rahastoa hallinnoidaan aktiivisesti sen tavoitteiden puitteissa eikä sitä ole sidottu vertailuindeksiin.",0 stars,6 / 7,6,927,"1,79%",Sektori,Raaka-aineet laaja,
